gene_symbol,Maco1
pvalue,0.3643384
parameter_name,lens opacity
gene_accession_id,MGI:1913396
analysis_id,4k85d1043pk95ue
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_010
mouse_strain,C57BL
