analysis_id,owrfu5935gg2z8y
pvalue,0.7954809
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
gene_symbol,Cd52
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_MLN_005_001
gene_accession_id,MGI:1346088
