gene_symbol,Abo
mouse_strain,C57BL
gene_accession_id,MGI:2135738
mouse_life_stage,Early adult
parameter_name,Thoracic processes
pvalue,0.08135022
analysis_id,7y47g46c1j99816
parameter_id,IMPC_XRY_064_001
