analysis_id,72480n31k1d57oj
gene_symbol,Zfp683
parameter_id,ESLIM_011_001_002
gene_accession_id,MGI:3650254
mouse_strain,C57BL
pvalue,0.5587765
parameter_name,PP1 startle magnitude
mouse_life_stage,Early adult
