analysis_id,90ya7h1z09h6ly4
mouse_strain,C57BL
pvalue,0.9807164
parameter_id,IMPC_GPO_002_001
parameter_name,Placenta Morphology
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
gene_symbol,Rhbg
