gene_symbol,1700019D03Rik
mouse_life_stage,Early adult
gene_accession_id,MGI:1914330
parameter_id,IMPC_CSD_070_001
mouse_strain,C57BL
pvalue,0.8942472
parameter_name,Lower teeth appearance
analysis_id,a4irzydyo2jp6aa
