analysis_id,538n08q9n7l1zxq
mouse_life_stage,Early adult
parameter_name,6kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_004_001
mouse_strain,C57BL
gene_accession_id,MGI:106100
gene_symbol,Etfdh
pvalue,0.2761809
