analysis_id,086j11zl97j5985
mouse_life_stage,Early adult
pvalue,0.1799771
mouse_strain,C57BL
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
parameter_id,IMPC_XRY_007_001
parameter_name,Clavicle
