mouse_strain,129SV
parameter_id,MGP_BMI_014_001
analysis_id,04p1ny9kd976z68
mouse_life_stage,Early adult
pvalue,0.3007098
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
gene_symbol,Cntfr
gene_accession_id,MGI:99605
