parameter_id,IMPC_ACS_037_001
mouse_strain,C57BL
gene_accession_id,MGI:1918345
parameter_name,% Pre-pulse inhibition - Global
gene_symbol,Kif24
pvalue,0.8694128
mouse_life_stage,Early adult
analysis_id,f4v9978099w76n0
