analysis_id,a618nqdc22g1i0b
gene_accession_id,MGI:1345282
mouse_strain,C57BL
parameter_name,Hindlimb digit - size
gene_symbol,Slc30a4
pvalue,0.05999868
parameter_id,IMPC_CSD_047_001
mouse_life_stage,Early adult
