parameter_name,Mean cell hemoglobin concentration
pvalue,0.4625705
analysis_id,q4zvvid1o6l39ut
mouse_strain,C57BL
parameter_id,IMPC_HEM_007_001
mouse_life_stage,Late adult
gene_symbol,AU040320
gene_accession_id,MGI:2140475
