gene_symbol,Arnt
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:88071
parameter_name,KLRG1+ gd T cells - % of gd T cells
analysis_id,1w7741aztn8lak8
parameter_id,MGP_MLN_021_001
pvalue,0.4010487
