parameter_name,Mean-cell-volume
mouse_strain,C57BL
pvalue,0.1288809
gene_symbol,Nucks1
mouse_life_stage,Late adult
parameter_id,M-G-P_016_001_005
analysis_id,9sb4xtgmxx9ir5u
gene_accession_id,MGI:1934811
