gene_symbol,Arpc2
parameter_name,Shape of ribcage
gene_accession_id,MGI:1923959
mouse_strain,C57BL
parameter_id,IMPC_XRY_059_001
analysis_id,xw1085rqm226lmr
mouse_life_stage,Early adult
pvalue,0.5548593
