parameter_name,PP1 startle magnitude
analysis_id,3775774d2al0z8b
parameter_id,ESLIM_011_001_002
mouse_life_stage,Early adult
gene_symbol,Cisd2
gene_accession_id,MGI:1914256
pvalue,0.8352378
mouse_strain,C57BL
