analysis_id,83go3owj8vpier0
parameter_id,M-G-P_016_001_005
parameter_name,Mean-cell-volume
gene_symbol,Cpa3
gene_accession_id,MGI:88479
mouse_life_stage,Early adult
pvalue,0.6673878
mouse_strain,C57BL
