analysis_id,5q53r8qm7236ol5
parameter_id,IMPC_ACS_034_001
gene_symbol,Etfdh
parameter_name,% Pre-pulse inhibition - PPI2
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
pvalue,0.5452763
mouse_strain,C57BL
