analysis_id,o8mv78qa19i4mcd
parameter_name,QT
gene_accession_id,MGI:1336200
gene_symbol,Hpca
mouse_strain,C57BL
parameter_id,IMPC_ECG_028_001
pvalue,0.2386005
mouse_life_stage,Late adult
