analysis_id,n6533uz69iwt4jj
gene_accession_id,MGI:2385156
mouse_life_stage,Early adult
parameter_name,eye size
gene_symbol,Sdcbp2
parameter_id,ESLIM_001_001_117
pvalue,0.107715
mouse_strain,C57BL
