gene_symbol,Ntmt2
analysis_id,ju0fj1405atv06h
parameter_name,Tremor
mouse_life_stage,Early adult
parameter_id,TCPLA_CSD_030_001
mouse_strain,C57BL
pvalue,0.9291319
gene_accession_id,MGI:2685053
