gene_symbol,Tbl1xr1
pvalue,0.3484744
parameter_name,PP3 + pulse startle magnitude
analysis_id,9x2nzy20142w0s6
mouse_life_stage,Late adult
parameter_id,ESLIM_011_001_009
gene_accession_id,MGI:2441730
mouse_strain,C57BL
