analysis_id,7959u35i519o8kq
mouse_life_stage,Early adult
gene_accession_id,MGI:1914672
mouse_strain,C57BL
gene_symbol,Dhdds
parameter_id,ESLIM_016_001_005
pvalue,0.7838555
parameter_name,Mean cell volume
