analysis_id,fq4wchj2x45s43e
mouse_life_stage,Early adult
gene_symbol,Inpp1
pvalue,0.8983789
gene_accession_id,MGI:104848
parameter_id,M-G-P_016_001_006
parameter_name,Mean-corpuscular-haemoglobin
mouse_strain,C57BL
