parameter_id,MGP_IMM_001_001
gene_accession_id,MGI:1914836
mouse_strain,C57BL
analysis_id,mxe400ri1s7344d
gene_symbol,Ubxn11
pvalue,0.5772957
parameter_name,Total T cells - % of CD45+
mouse_life_stage,Early adult
