analysis_id,f04e27o7wl20xmo
parameter_id,JAXLA_EYE_092_001
mouse_strain,C53BL
gene_symbol,Gpbp1l1
pvalue,0.1842713
gene_accession_id,MGI:1924360
mouse_life_stage,Early adult
parameter_name,Retina (combined)
