parameter_name,Whole arena average speed
mouse_life_stage,E18.5
analysis_id,39299ml0u6heu6z
mouse_strain,C57BL
gene_symbol,Lpgat1
parameter_id,JAX_OFD_009_001
pvalue,0.2376682
gene_accession_id,MGI:2446186
