analysis_id,10g413t4k70f7f7
gene_accession_id,MGI:1914944
mouse_strain,C57BL
parameter_id,ESLIM_008_001_013
pvalue,0.9556935
gene_symbol,Ift74
mouse_life_stage,Early adult
parameter_name,Startle response
