parameter_name,CD8 CD44+CD62L- T cells
mouse_life_stage,Early adult
gene_accession_id,MGI:1914437
pvalue,0.7540871
gene_symbol,Zmynd19
parameter_id,IMPC_IMM_032_001
mouse_strain,C57BL
analysis_id,9whavbt4z3qfnlv
