parameter_id,IMPC_GEL_029_001
parameter_name,Midbrain
gene_symbol,Arpc2
analysis_id,75l5055gcl4p9s4
gene_accession_id,MGI:1923959
pvalue,0.866369
mouse_life_stage,Early adult
mouse_strain,129SV
