analysis_id,9p770j7gnd35a73
parameter_name,Click-evoked ABR threshold
parameter_id,IMPC_ABR_002_001
gene_symbol,Slc2a8
gene_accession_id,MGI:1860103
mouse_life_stage,Early adult
pvalue,0.4470826
mouse_strain,C57BL
