parameter_id,MGP_PBI_001_001
parameter_name,Total T cell percentage
gene_accession_id,MGI:97054
pvalue,0.3972486
mouse_life_stage,Early adult
analysis_id,9knag5u70x65zqv
gene_symbol,Mov10
mouse_strain,C57BL
