gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_name,DN CD44+CD62L- NKT cells
analysis_id,3ijfk32rp3zfv4e
mouse_life_stage,Early adult
mouse_strain,C53BL
parameter_id,IMPC_IMM_046_001
pvalue,0.5856482
