gene_symbol,Psd4
parameter_id,IMPC_CSD_008_001
mouse_strain,C57BL
analysis_id,43a997689ekle8p
mouse_life_stage,Early adult
parameter_name,Coat - color pattern - back
pvalue,0.2457706
gene_accession_id,MGI:2674093
