analysis_id,iq7at5kg8uzc9c7
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_067_001
parameter_name,Follicular B Cells (CD21/35+)
pvalue,0.335402
gene_accession_id,MGI:2673000
gene_symbol,Trim46
mouse_strain,C57BL
