parameter_id,IMPC_GEP_084_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
parameter_name,Limb morphology
analysis_id,717j743lb7g1ntk
mouse_strain,C57BL
pvalue,0.80362
gene_symbol,Hrnr
