analysis_id,097330vh04860d6
mouse_life_stage,Early adult
gene_accession_id,MGI:95576
parameter_id,IMPC_GEO_009_002
mouse_strain,C57BL
pvalue,0.6560498
parameter_name,Hemorrhage
gene_symbol,Fpgs
