parameter_name,Time mobile light side
pvalue,0.928495
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_LDT_003_001
gene_symbol,Bach2
analysis_id,15zo4yra387ullw
gene_accession_id,MGI:894679
