mouse_strain,C57BL
pvalue,0.7054287
gene_symbol,Ints7
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
gene_accession_id,MGI:1924315
parameter_id,MGP_PBI_010_001
mouse_life_stage,Early adult
analysis_id,t0l952f43fs04zj
