analysis_id,7a4pu83ch585420
mouse_life_stage,Early adult
gene_symbol,Ntmt2
pvalue,0.9445419
mouse_strain,C57BL
gene_accession_id,MGI:2685053
parameter_id,IMPC_XRY_025_001
parameter_name,Tibia
