analysis_id,20b67jwc143gugb
parameter_name,Contact righting
gene_accession_id,MGI:1916846
parameter_id,JAXLA_CSD_077_001
gene_symbol,Ap5s1
mouse_life_stage,Early adult
pvalue,0.3894458
mouse_strain,C57BL
