parameter_name,Others
pvalue,0.8793153
analysis_id,694379mvi65372l
gene_symbol,Sfpq
mouse_life_stage,Early adult
gene_accession_id,MGI:1918764
mouse_strain,C57BL
parameter_id,IMPC_IMM_006_001
