analysis_id,af5133h609o469a
pvalue,0.6092741
parameter_id,HMGULA_SHI_009_001
mouse_life_stage,Middle aged adult
gene_symbol,Lpgat1
mouse_strain,C57BL
gene_accession_id,MGI:2446186
parameter_name,Startle response
