analysis_id,95ba52hj3774056
pvalue,0.7491891
mouse_life_stage,Middle aged adult
parameter_id,ESLIM_011_001_703
gene_accession_id,MGI:1336200
parameter_name,Prepulse inhibition - PP3
mouse_strain,C57BL
gene_symbol,Hpca
