gene_symbol,Kifap3
mouse_life_stage,Early adult
pvalue,0.7292808
analysis_id,0ajim3tomcsf8cl
parameter_name,Embryo turning
gene_accession_id,MGI:107566
mouse_strain,C57BL
parameter_id,IMPC_GEL_011_001
