parameter_id,IMPC_IMM_050_001
gene_symbol,Snap23
parameter_name,Neutrophils
gene_accession_id,MGI:109356
mouse_life_stage,Early adult
analysis_id,sxp97518yni695g
pvalue,0.1952239
mouse_strain,C57BL
