analysis_id,8321537cj5hk1i2
parameter_name,Chloride
gene_symbol,Pld1
pvalue,0.9732772
mouse_strain,C57BL
parameter_id,IMPC_CBC_003_001
mouse_life_stage,Early adult
gene_accession_id,MGI:109585
