analysis_id,4o1j838tq3j279y
parameter_name,Retina (combined)
mouse_strain,C58BL
pvalue,0.6676163
parameter_id,IMPC_EYE_092_002
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
mouse_life_stage,Late adult
