parameter_name,Total cholesterol
parameter_id,JAXLA_CBC_015_001
pvalue,0.8692287
gene_symbol,Pld1
mouse_life_stage,Early adult
gene_accession_id,MGI:109585
mouse_strain,C57BL
analysis_id,t4s2506c4vp0u21
