analysis_id,xf1f58v0yx9257j
mouse_life_stage,Early adult
gene_symbol,Arnt
pvalue,0.2179305
parameter_name,Ulna
mouse_strain,C57BL
parameter_id,IMPC_XRY_023_001
gene_accession_id,MGI:88071
