gene_symbol,MORN5
mouse_strain,C57BL
parameter_id,IMPC_DXA_009_001
parameter_name,Fat/Body weight
gene_accession_id,MGI:1922745
pvalue,0.4515099
analysis_id,qql3020zeis9o40
mouse_life_stage,Early adult
