analysis_id,l04813ho7a54931
parameter_id,IMPC_OFD_017_001
mouse_strain,C57BL
pvalue,0.7994321
mouse_life_stage,Early adult
gene_accession_id,MGI:1918764
gene_symbol,Sfpq
parameter_name,Center average speed
