gene_symbol,Dnajc8
mouse_life_stage,Early adult
parameter_id,MGP_MLN_072_001
mouse_strain,C57BL
gene_accession_id,MGI:1915848
analysis_id,1ak8r6ni76rmcv0
pvalue,0.7345242
parameter_name,KLRG1+ Treg cells - % of CD45+
