parameter_name,Tibia
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
pvalue,0.3031049
parameter_id,IMPC_XRY_025_001
mouse_life_stage,Early adult
analysis_id,7fuo7zzmz71b0o9
mouse_strain,C57BL
