analysis_id,7sz06qb0xcn7v36
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,Global prepulse inhibition
gene_symbol,Slc39a10
parameter_id,ESLIM_011_001_705
pvalue,0.7178958
gene_accession_id,MGI:1914515
