analysis_id,78c0n95e8hh8a6o
gene_symbol,Arpc5l
mouse_strain,C57BL
parameter_id,IMPC_XRY_027_001
parameter_name,Joints
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
pvalue,0.5247701
