parameter_name,B cell number
analysis_id,9jt0pe2t8362eye
parameter_id,MGP_PBI_034_001
gene_symbol,Exd1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
pvalue,0.3240006
