analysis_id,aycu809odg02685
pvalue,0.8928961
gene_accession_id,MGI:1888742
parameter_id,IMPC_XRY_007_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Extl1
parameter_name,Clavicle
