analysis_id,2m77o0kvuz1k694
gene_symbol,Mms22l
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,MGP_BMI_019_001
gene_accession_id,MGI:2684980
parameter_name,T cells - % of CD45+
pvalue,0.3435296
