parameter_id,UCD_OWT_003_001
parameter_name,Spleen weight
gene_accession_id,MGI:1931749
pvalue,0.3243504
analysis_id,h6v6310x52t8spw
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Pum1
