gene_symbol,Col6a3
mouse_strain,C57BL
analysis_id,rnqn2986i1431ms
pvalue,0.2455839
parameter_name,Triglycerides
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
parameter_id,HMGULA_CBC_017_001
