gene_symbol,Tnfsf10
parameter_id,IMPC_OFD_021_001
parameter_name,Number of rears - total
analysis_id,8rx8102u7lj20l2
mouse_life_stage,Early adult
pvalue,0.503721
gene_accession_id,MGI:107414
mouse_strain,C57BL
