gene_symbol,Slc45a3
mouse_strain,C57BL
parameter_name,BMC/Body weight
parameter_id,JAXLA_DXA_007_001
gene_accession_id,MGI:1922082
mouse_life_stage,Early adult
pvalue,0.676802
analysis_id,wraae416g3r0675
