parameter_name,Mean corpuscular hemoglobin
gene_symbol,Zmynd19
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_006_001
pvalue,0.6958156
gene_accession_id,MGI:1914437
mouse_strain,C57BL
analysis_id,al070339d4vw3i5
